City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Shellbrook,CA,53.2168,-106.4011,65.43,22,5,6.06,clear sky
266,Salalah,OM,17.0151,54.0924,82.49,83,75,6.91,broken clouds
267,Acapulco,MX,16.8634,-99.8901,87.62,70,1,6.91,clear sky
268,Tiksi,RU,71.6872,128.8694,24.67,88,98,14.07,overcast clouds
269,San Patricio,US,28.017,-97.5169,92.12,47,85,8.08,overcast clouds
270,Dangriga,BZ,16.9692,-88.2321,87.76,70,18,7.02,few clouds
271,Marienburg,PL,54.0359,19.0266,58.87,67,89,13.91,overcast clouds
272,East London,ZA,-33.0153,27.9116,57.83,71,50,5.19,light rain
273,Hamilton,US,39.1834,-84.5333,72.91,88,75,1.01,broken clouds
274,South Sioux City,US,42.4739,-96.4136,78.15,29,1,5.01,clear sky
275,Svetlaya,RU,46.5389,138.3297,53.65,82,100,4.85,overcast clouds
276,Gawler,AU,-34.6,138.7333,54.91,90,45,17.36,light rain
277,Lasa,IT,46.6166,10.7002,58.08,96,95,5.21,overcast clouds
278,Saint Anthony,US,45.0205,-93.218,73.92,60,1,1.01,clear sky
279,Tasiilaq,GL,65.6145,-37.6368,35.76,54,0,5.3,clear sky
280,Haren,DE,52.7833,7.2333,53.26,93,100,10.36,overcast clouds
281,Porangatu,BR,-13.4408,-49.1486,88.66,39,74,1.5,broken clouds
282,Akyab,MM,20.15,92.9,79.83,83,63,4.54,broken clouds
283,Budakalasz,HU,47.6167,19.05,62.56,67,14,5.82,few clouds
284,Thompson,CA,55.7435,-97.8558,64.56,45,75,8.05,broken clouds
285,Ambulu,ID,-8.345,113.6058,74.1,89,52,1.21,broken clouds
286,Miandrivazo,MG,-19.5167,45.4667,77.65,68,3,7.74,clear sky
287,Bozova,TR,37.3625,38.5267,68.92,34,0,8.23,clear sky
288,Borogontsy,RU,62.6683,131.1683,24.21,94,8,4.27,clear sky
289,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.78,62,97,2.93,overcast clouds
290,Sorong,ID,-0.8833,131.25,77.05,88,100,9.75,overcast clouds
291,Chumikan,RU,54.7183,135.315,35.67,72,91,12.44,overcast clouds
292,Mogadishu,SO,2.0371,45.3438,78.15,85,39,15.99,scattered clouds
293,Bahia Blanca,AR,-38.7196,-62.2724,62.74,29,64,11.81,broken clouds
294,Bowen,AU,-20.0167,148.2333,71.82,91,16,6.98,few clouds
295,Mahebourg,MU,-20.4081,57.7,73.26,83,75,11.5,light rain
296,Kapaa,US,22.0752,-159.319,79.12,78,90,7.0,light rain
297,Paita,PE,-5.0892,-81.1144,73.96,74,24,20.6,few clouds
298,Great Yarmouth,GB,52.6083,1.7305,54.23,81,0,16.73,clear sky
299,Saskylakh,RU,71.9167,114.0833,17.15,92,99,11.77,overcast clouds
300,Innisfail,AU,-17.5333,146.0333,82.87,75,6,1.97,clear sky
301,Nongan,CN,44.382,125.1685,45.59,83,44,8.28,scattered clouds
302,Guia Lopes Da Laguna,BR,-21.4578,-56.1142,87.76,48,36,6.6,moderate rain
303,Itambacuri,BR,-18.0311,-41.685,85.05,29,11,5.77,few clouds
304,Macaubas,BR,-13.0194,-42.6986,86.7,22,1,10.33,clear sky
305,Walvis Bay,NA,-22.9575,14.5053,55.09,82,0,8.05,clear sky
306,Hanmer Springs,NZ,-42.5167,172.8167,45.59,99,100,3.0,overcast clouds
307,Rockport,US,28.0206,-97.0544,90.23,72,1,1.99,clear sky
308,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,78,40,16.11,scattered clouds
309,Kushiro,JP,42.975,144.3747,61.79,80,100,19.73,overcast clouds
310,Mosquera,CO,4.7059,-74.2302,68.09,60,75,3.44,broken clouds
311,Luderitz,NA,-26.6481,15.1594,58.78,53,93,21.9,overcast clouds
312,General Roca,AR,-39.0333,-67.5833,66.6,19,0,18.66,clear sky
313,Tilichiki,RU,60.4667,166.1,36.88,94,100,21.94,moderate rain
314,Hornepayne,CA,49.2138,-84.7705,57.34,74,100,4.72,overcast clouds
315,Eganville,CA,45.5334,-77.0994,55.51,95,100,4.56,overcast clouds
316,Rio Gallegos,AR,-51.6226,-69.2181,57.25,28,75,37.98,broken clouds
317,Deep River,CA,46.1001,-77.4995,55.94,94,100,3.74,overcast clouds
318,Mazamari,PE,-11.3258,-74.5308,83.55,61,89,1.32,overcast clouds
319,Jutai,BR,-5.1833,-68.9,87.67,59,85,0.58,overcast clouds
320,East Wenatchee Bench,US,47.4257,-120.2812,74.97,39,1,4.0,clear sky
321,Rothes,GB,57.5262,-3.2066,51.12,82,100,14.47,overcast clouds
322,Shingu,JP,33.7333,135.9833,73.24,84,79,4.47,broken clouds
323,Zyryanka,RU,65.75,150.85,22.3,95,82,7.67,broken clouds
324,Okhotsk,RU,59.3833,143.3,31.86,71,3,22.59,clear sky
325,Nachingwea,TZ,-10.3833,38.7667,68.85,76,15,5.26,few clouds
326,Magaria,NE,12.9983,8.9099,86.97,27,0,4.38,clear sky
327,Millinocket,US,45.6573,-68.7098,62.71,45,40,3.44,scattered clouds
328,Nome,US,64.5011,-165.4064,30.27,75,1,3.44,clear sky
329,Bubaque,GW,11.2833,-15.8333,82.18,72,92,2.01,overcast clouds
330,Amapa,BR,1.0,-52.0,84.04,50,100,2.64,overcast clouds
331,Chuy,UY,-33.6971,-53.4616,55.6,64,75,12.37,broken clouds
332,Cap-Aux-Meules,CA,47.3821,-61.8597,51.82,87,100,4.61,overcast clouds
333,Viedma,AR,-40.8135,-62.9967,59.22,27,2,12.46,clear sky
334,Pringsewu,ID,-5.3582,104.9744,73.99,93,100,4.47,overcast clouds
335,Dzialdowo,PL,53.2396,20.17,53.37,78,56,11.14,broken clouds
336,Inyonga,TZ,-6.7167,32.0667,77.45,45,100,8.39,overcast clouds
337,Vauvert,FR,43.7,4.2833,66.45,94,100,9.22,overcast clouds
338,Bonfim,BR,3.0833,-59.95,85.89,63,98,8.21,overcast clouds
339,Upernavik,GL,72.7868,-56.1549,30.58,90,100,4.5,overcast clouds
340,Kupang,ID,-10.1667,123.5833,75.58,84,52,3.83,broken clouds
341,Capitan Bado,PY,-23.2667,-55.5333,71.91,94,93,11.7,overcast clouds
342,Clinton,US,42.587,-82.9199,77.56,86,75,0.0,mist
343,Aitape,PG,-3.1374,142.3475,77.67,84,28,3.56,scattered clouds
344,Skibbereen,IE,51.55,-9.2667,48.0,84,98,14.92,light rain
